# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1092
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ma 	马	c=1 d=0.955997 t=1092
me 	么	c=1 d=0.995012 t=1092
me yi si 	么意思	c=0 d=0.0985112 t=1092
mei ci 	每次	c=1 d=0.790571 t=1092
mei ge 	每个	c=1 d=0.980199 t=1092
mei tai 	每台	c=1 d=0.726149 t=1092
mei you 	没有	c=8 d=5.08994 t=1092
meng le 	懵了	c=0 d=0.0995012 t=1092
mian 	面	c=0 d=0.0891366 t=1092
ming 	名	c=1 d=0.909373 t=1092
ming bai 	明白	c=0 d=0.099005 t=1092
ming cheng 	名称	c=2 d=1.89786 t=1092
ming zi 	名字	c=1 d=0.891366 t=1092
mo kuai 	模块	c=3 d=2.65286 t=1092
mo ren 	默认	c=2 d=1.35651 t=1092
mu di shi 	目的是	c=1 d=0.946485 t=1092
mu lu 	目录	c=0 d=0.0980199 t=1092
mu lu hou 	目录后	c=1 d=0.985112 t=1092
mu qian 	目前	c=2 d=1.8149 t=1092
na 	那	c=4 d=2.72732 t=1092
na fen 	那份	c=2 d=1.86018 t=1092
na ge 	哪个	c=1 d=0.909373 t=1092
na li 	哪里	c=4 d=2.43449 t=1092
na liu lan qi 	那浏览器	c=1 d=0.755784 t=1092
na wo 	那我	c=3 d=2.34997 t=1092
na wo ba 	那我把	c=1 d=0.869358 t=1092
na xie 	哪些	c=3 d=2.36644 t=1092
na zai 	那在	c=1 d=0.794534 t=1092
na zhe 	那这	c=0 d=0.0927743 t=1092
na zhe ge ne 	那这个呢	c=1 d=0.99005 t=1092
na zhe he 	那这和	c=1 d=0.932394 t=1092
nan de 	男的	c=1 d=0.980199 t=1092
nao zi 	脑子	c=1 d=0.909373 t=1092
ne 	呢	c=4 d=3.32019 t=1092
neng 	能	c=2 d=1.49623 t=1092
neng ba 	能把	c=1 d=0.865022 t=1092
neng xian shi 	能显示	c=1 d=1 t=1089
neng yong 	能用	c=1 d=0.895834 t=1092
