# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	5607
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ai 	唉	c=8 d=2.61297 t=5607
bu shi ge men 	不是哥们	c=1 d=0.831104 t=5607
bu shi ya 	不是呀	c=1 d=0.57695 t=5607
bu shi yi ge 	不是一个	c=1 d=0.970446 t=5607
bu shi zhe ge 	不是这个	c=0 d=0.0995012 t=5607
bu shi zhe ge ma 	不是这个吗	c=1 d=1 t=5607
bu shu 	部署	c=3 d=2.55962 t=5607
bu shu de 	部署的	c=1 d=0.774916 t=5607
bu shu fu 	不舒服	c=1 d=0.516851 t=5607
bu tong 	不同	c=1 d=0.980199 t=5607
bu tong 	不通	c=1 d=0.909373 t=5607
bu xiang yao 	不想要	c=1 d=0.718924 t=5607
bu xing 	不行	c=10 d=6.52152 t=5607
bu xing ba 	不行吧	c=1 d=0.771052 t=5607
bu xing ma 	不行吗	c=1 d=0.843665 t=5607
bu xu yao 	不需要	c=1 d=0.923116 t=5607
bu yao dian 	不要点	c=1 d=0.895834 t=5607
bu yi ding 	不一定	c=1 d=0.995012 t=5607
bu yi yang 	不一样	c=1 d=0.941765 t=5607
bu ying gai 	不应该	c=2 d=1.85076 t=5607
bu yong 	不用	c=3 d=2.44729 t=5607
bu yong zhi 	不用治	c=1 d=0.798516 t=5607
bu zai 	补在	c=1 d=0.980199 t=5607
bu zai han leng 	不再寒冷	c=1 d=0.923116 t=5607
bu zhao 	不找	c=1 d=0.737123 t=5607
bu zheng chang 	不正常	c=1 d=0.980199 t=5607
bu zheng que 	不正确	c=1 d=0.88692 t=5607
bu zhi 	不知	c=1 d=0.923116 t=5607
bu zhi dao 	不知道	c=2 d=0.854782 t=5607
bu zhong shi 	不重视	c=1 d=0.344728 t=5607
bu zhu 	不住	c=2 d=1.58211 t=5607
bu zhu gui jiu dian 	不住贵酒店	c=1 d=0.869358 t=5607
bu zu 	不足	c=2 d=1.77564 t=5607
bu zuo 	不做	c=1 d=0.937067 t=5607
cai 	才	c=6 d=3.00788 t=5607
cai 	菜	c=0 d=0.0814647 t=5607
cai dao 	猜到	c=1 d=0.71177 t=5607
cai gou 	才够	c=1 d=1 t=5607
cai neng 	才能	c=2 d=1.80063 t=5607
can kao 	参考	c=2 d=1.64891 t=5607
can shu 	参数	c=4 d=2.73965 t=5607
can zhao 	参照	c=1 d=0.904837 t=5607
cang ku 	仓库	c=6 d=3.35314 t=5607
cao 	艹	c=1 d=0.932394 t=5607
cao 	草	c=1 d=0.895834 t=5607
cao ni 	操你	c=1 d=1 t=5607
cao ni ma 	操你妈	c=1 d=0.995012 t=5607
cao tu 	草图	c=1 d=0.790571 t=5607
cao zuo 	操作	c=1 d=0.913931 t=5607
ce shi 	测试	c=12 d=6.30477 t=5607
ce shi ne 	测试呢	c=1 d=0.985112 t=5607
ceng yi wei 	曾以为	c=1 d=0.219808 t=5607
cha ge 	差个	c=1 d=0.97531 t=5607
cha jian 	插件	c=1 d=0.722527 t=5607
cha kan 	查看	c=3 d=2.28034 t=5607
cha zhao 	查找	c=1 d=0.985112 t=5607
chan wu 	产物	c=1 d=0.927743 t=5607
chang jiu 	长久	c=1 d=0.225373 t=5607
chang kuan 	长宽	c=1 d=0.860708 t=5607
chang shi 	尝试	c=2 d=1.46109 t=5607
chao 	抄	c=0 d=0.099005 t=5607
chao bi 	炒币	c=0 d=0.0588605 t=5607
chao de 	抄的	c=1 d=0.941765 t=5607
chao guo lai 	抄过来	c=1 d=0.900325 t=5607
chao ji 	超级	c=1 d=0.882497 t=5607
chao ji hao chi 	超级好吃	c=1 d=0.831104 t=5607
chao ji xi huan 	超级喜欢	c=0 d=0.0759572 t=5607
chao jia 	吵架	c=3 d=1.45594 t=5607
chao jue 	超绝	c=1 d=0.932394 t=5607
chao le 	抄了	c=0 d=0.0970446 t=5607
chao le dian 	抄了点	c=1 d=0.97531 t=5607
chao ming bai 	抄明白	c=1 d=0.995012 t=5607
chao shi 	超时	c=0 d=0.0778801 t=5607
chao shi le 	超时了	c=1 d=0.782705 t=5607
che hui 	撤回	c=0 d=0.0960789 t=5607
che hui ya 	撤回呀	c=1 d=0.965605 t=5607
chen 	陈	c=2 d=1.96531 t=5607
chen shu 	陈述	c=2 d=1.02291 t=5607
cheng 	成	c=2 d=1.89307 t=5607
cheng ben 	成本	c=1 d=0.965605 t=5607
cheng gong 	成功	c=3 d=2.82579 t=5607
cheng gong ma 	成功吗	c=0 d=0.0985112 t=5607
cheng ji 	成绩	c=1 d=0.843665 t=5607
cheng nuo 	承诺	c=1 d=0.276651 t=5607
cheng xu 	程序	c=7 d=4.05835 t=5607
cheng xu yuan 	程序员	c=1 d=0.484325 t=5607
chi 	吃	c=2 d=1.73039 t=5607
chi bao le 	吃饱了	c=1 d=0.900325 t=5607
chi chi chi chi 	吃吃吃吃	c=1 d=0.891366 t=5607
chi de 	吃的	c=0 d=0.0806541 t=5607
chi dian dong xi 	吃点东西	c=1 d=0.540641 t=5607
chi diao le 	吃掉了	c=1 d=0.913931 t=5607
chi ge 	吃个	c=2 d=1.88589 t=5607
chi ge fan 	吃个饭	c=1 d=0.900325 t=5607
chi guo 	吃过	c=1 d=0.860708 t=5607
chi rou 	吃肉	c=0 d=0.0856415 t=5607
chi shen me 	吃什么	c=2 d=1.88468 t=5607
chi xiang jiao 	吃香蕉	c=1 d=0.918512 t=5607
chi yao 	吃药	c=1 d=0.852144 t=5607
chong dan 	冲淡	c=1 d=0.290835 t=5607
chong dao 	冲到	c=0 d=0.0740818 t=5607
chong dian fei 	充电费	c=1 d=0.985112 t=5607
chong ding xiang 	重定向	c=2 d=1.71014 t=5607
chong fa 	重发	c=1 d=0.767206 t=5607
chong he 	重合	c=2 d=1.63944 t=5607
chong tu 	冲突	c=0 d=0.0995012 t=5607
chong tu ma 	冲突吗	c=2 d=1.75523 t=5607
chong xin 	重新	c=4 d=2.91195 t=5607
chong zhuang 	重装	c=1 d=0.985112 t=5607
chou si 	抽死	c=1 d=0.70822 t=5607
chou si bo jian 	抽丝剥茧	c=1 d=0.71177 t=5607
chou si le 	愁死了	c=1 d=0.847894 t=5607
chu 	出	c=1 d=0.750504 t=5607
chu lai 	出来	c=4 d=1.8794 t=5607
chu lai ba 	出来吧	c=1 d=0.546074 t=5607
chu lai de 	出来的	c=1 d=0.955997 t=5607
chu li 	处理	c=2 d=1.54212 t=5607
chu men 	出门	c=0 d=0.0970446 t=5607
chu shi hua 	初始化	c=1 d=0.965605 t=5607
chu wen ti 	出问题	c=1 d=0.995012 t=5607
chu yi ci 	出一次	c=1 d=0.88692 t=5607
chuan 	传	c=3 d=2.62927 t=5607
chuan bu guo qi 	喘不过气	c=1 d=0.637628 t=5607
chuan di 	传递	c=2 d=1.92218 t=5607
chuan di dao 	传递到	c=1 d=0.759572 t=5607
chuan ge 	穿个	c=1 d=0.900325 t=5607
chuan jian 	船舰	c=1 d=0.932394 t=5607
chuan qun zi 	穿裙子	c=1 d=0.941765 t=5607
chuan shen me 	穿什么	c=1 d=0.802519 t=5607
chuang jian 	创建	c=7 d=5.44282 t=5607
chuang jian le 	创建了	c=1 d=0.923116 t=5607
chuang kou 	窗口	c=4 d=3.03872 t=5607
chui de 	吹得	c=0 d=0.0923116 t=5607
chun 	纯	c=0 d=0.0856415 t=5607
chun chi rou 	纯吃肉	c=1 d=0.860708 t=5607
chun jing 	纯净	c=0 d=0.099005 t=5607
chun shi 	蠢事	c=1 d=0.946485 t=5607
ci 	刺	c=0 d=0.0873716 t=5607
ci shen 	刺身	c=1 d=0.852144 t=5607
cong 	从	c=2 d=0.927743 t=5607
cong lai 	从来	c=1 d=0.790571 t=5607
cun 	存	c=1 d=0.941765 t=5607
cun fang 	存放	c=1 d=0.946485 t=5607
cun zai 	存在	c=2 d=1.87982 t=5607
cuo de 	错的	c=1 d=0.980199 t=5607
da 	大	c=0 d=0.0891366 t=5607
da an 	答案	c=4 d=1.95566 t=5607
da biao 	打表	c=1 d=0.904837 t=5607
